Control - E1,Control - E2,Control - E3
3.534529982273205,3.5372842384018726,3.5230559131454426
3.534743753408816,3.5370981663532044,3.522035697171984
3.5347864707349275,3.5348238537069023,3.5221559243638345
3.532524846427497,3.5359654551388737,3.5216965248627177
3.53061399014449,3.5349756909366405,3.5211303183036646
3.5278337212573114,3.5354281111199493,3.522013066651824
3.5278330712203205,3.5353238672558476,3.5211582555038197
3.5336632699013535,3.5368803998555647,3.5222228896947056
3.5325951204755177,3.5366073572873864,3.5220353341267683
3.533013590065753,3.5383869670313266,3.521937998528659
3.5324441259322006,3.537236374932726,3.52202090554092
3.532966340030492,3.5375088081096977,3.523496733994952
3.533363616623607,3.5389607201379945,3.523948270810215
3.5344758971363683,3.540283660577625,3.5237740722213937
3.534696729741559,3.5414605948991094,3.5259631833529617
3.535452056027149,3.5422000071362127,3.5271290796901
3.537431645004952,3.541679276785635,3.5278249372641985
3.538499173582333,3.542743831411419,3.528859724160906
3.5388544354142177,3.5431897775380805,3.5289305345638717
3.5404846432115513,3.545333835398716,3.5303634470071095
3.5414108452528525,3.5463925749960126,3.5305915718664336
3.543229492336657,3.5484055714502873,3.5311302637973356
3.5446691332639224,3.550430235236189,3.5330351655188155
3.545663794576273,3.5500991445035153,3.5344294197374495
3.5464198965674676,3.551072100992851,3.5362505594994493
3.5491856532958304,3.5529425376192036,3.537023001544193
3.549819391539382,3.5560563714820455,3.538601139257145
3.551566611143786,3.557337424408612,3.540257737189374
3.5526689802887894,3.5583929050435144,3.541141980103621
3.5540869397542005,3.559003477008055,3.5427505885936315
3.5561697843223845,3.562501540902892,3.5439053698488094
3.558206997239398,3.5619996167340107,3.545149982588876
3.5594825583145306,3.56336288078339,3.5465433679129132
3.5598966675036166,3.565776514943193,3.5470834241933544
3.5620606619097415,3.56760360660247,3.547805168376584
3.564603218544511,3.569598204037534,3.550751592673508
3.5642080562254366,3.5732954559111088,3.5502490102259427
3.5654167026721835,3.5737406499518913,3.5534420538129234
3.567012552782797,3.5737468804929984,3.553811681909371
3.567493875326535,3.5760299705719603,3.554596192011087
3.5687290749474734,3.576482687925117,3.5571797924448516
3.569783874634596,3.5784850738655174,3.5579170590646556
3.5707050017890642,3.578520558120183,3.558485586139251
3.570596304730416,3.578864215341123,3.558235140268485
3.5707622459078623,3.5799862086896814,3.5579310521295335
3.569167338448305,3.5784223219389077,3.557040907442844
3.5658149910241144,3.5708690727934154,3.5536914999907303
3.559032661541294,3.5680137441023994,3.548719080108355
3.552102578555614,3.563796392404803,3.541484093213801
3.5438283589099706,3.5562667242821604,3.533196205743522
3.5334459136496426,3.545775553324423,3.5233796723298774
3.520600542104723,3.535163437580632,3.5111950841846493
3.5069908037171507,3.5208151742338623,3.497114083074739
3.4923142379115992,3.504864652257146,3.4798541528843714
3.476325285557678,3.487873220686832,3.46226813482276
3.4577349539860727,3.469276440221406,3.443798684508694
3.437731208036393,3.4505761993304263,3.42583523009779
3.418613213412025,3.429180548644498,3.4066796799018704
3.3976178003436557,3.409591252817269,3.388025275286247
3.3781099721578705,3.3902002754814413,3.369499134148202
3.358091346530911,3.369833799177621,3.348021803350284
3.337429776430607,3.3496713370240294,3.328896023633471
3.317076467101664,3.3334379210550424,3.308434594176829
3.298117624036439,3.311536833589288,3.289123664869586
3.278440195660411,3.29350163540121,3.270683313449434
3.2602827591218224,3.273953361830827,3.2529129541959065
3.241340792208895,3.256907789487358,3.2355032519938964
3.226405101920759,3.238835620513684,3.2171231461851613
3.2092368325540264,3.221355733037324,3.2001960563541894
3.1931910181028975,3.2057823570040163,3.1858807711697854
3.180027962191704,3.190838979685448,3.1701197944521944
3.1673533117117225,3.17573209291263,3.155309008137519
3.153305591745478,3.1629831650309668,3.1418580532860894
3.1384577847931414,3.1514355217563237,3.1301008406358934
3.1251071019578207,3.1407386682431286,3.1184095120180757
3.1140434242501343,3.1276574836715434,3.1081273475503517
3.104490700472536,3.117443794424614,3.0949747461574244
3.097350352400372,3.108059162779914,3.0895340140820347
3.0878082073167588,3.0990656813637028,3.0801495757981945
3.0794255329366043,3.09210721385599,3.072788170054267
3.073043889961386,3.0874934379384955,3.0600185157703557
3.067264582963322,3.0771735204654544,3.0572907885713
3.0604186531370576,3.0709259689648434,3.051278889869116
3.05536415661389,3.067328093843036,3.0468803630750516
3.051387992268122,3.062810255418658,3.0434577645831595
3.0465328169585275,3.058217486112851,3.038815998800291
3.0415106494698056,3.053476318216446,3.035991996447059
3.0401241359283966,3.053512809581783,3.033641633140562
3.0357281121707453,3.0513537661110233,3.030957640527019
3.034767437944353,3.0502449552371034,3.030953027925945
3.0327218077384233,3.0488850840969532,3.0289128030042174
3.030394796758589,3.04468670065444,3.0237152784650245
3.031512446459929,3.043962273990121,3.0206338367933814
3.0188970309936622,3.0494936850722754,3.022776765182679
3.0146925553476085,3.0485395806114655,3.0267656914897243
3.0127051650952934,3.048825185948495,3.0215727580091234
3.0312592626829002,3.049677835083175,3.029278148484635
3.0269238525705817,3.0545408808956473,3.028377287635501
3.0272532088676796,3.0551053577491265,3.0322324563854166
3.0302200286636802,3.0568317397400526,3.0270144246511195
3.0433691809991896,3.0530057461391107,3.032909891307594
3.048916406222446,3.0612718249264868,3.0418699955791584
3.0455836421767652,3.053038403331717,3.049963195444304
3.051306354986127,3.0640296424806217,3.0411010304879946
3.0556633837951708,3.058113766299525,3.0577414207410314
3.047101802272461,3.0818976274090564,3.056280938721224
3.0562680264574427,3.087998128219873,3.054819246494701
3.0673172921321656,3.0871442605249255,3.0626208339813177
3.0587603021980034,3.0952319715514705,3.073469346235197
3.070618522226584,3.1045363734211837,3.0659287722040314
3.0792039359799044,3.1032107633941157,3.0890376856190818
3.084741300621176,3.1217979260740196,3.107455344163363
3.096734135303772,3.1231803391837625,3.1163602409240334
3.10283212448062,3.124684946669917,3.1158962036374835
3.1138895500841337,3.1415231877295655,3.132022013495333
3.1222289840893267,3.1498014661009592,3.1362096050824757
3.141019555476592,3.1633381906562184,3.1509872454431935
3.148691421222874,3.172717673091246,3.145859136724355
3.1507530030437296,3.172341421430279,3.1589734680083184
3.1605161779450794,3.1906369331277444,3.177775068118174
3.1712422194850003,3.1955076452896005,3.1869451462857867
3.184786229214204,3.2131499335851763,3.1983627188093537
3.1805008746101437,3.2061157688362014,3.1996430931582864
3.178489851956684,3.229757597196502,3.22253783257462
3.206777572007476,3.231357437099266,3.2296669809285357
3.221845581352615,3.249234510929302,3.2339488069075863
3.2367615713723827,3.2575747776432635,3.24542185168646
3.2402999378215824,3.2674673362472477,3.253543307324415
3.256504793229314,3.2757103174062943,3.2603809141033175
3.2678629391553145,3.2784172711231845,3.260535592957978
3.2690325798252546,3.2839171385708674,3.269261582675063
3.281418250583157,3.2903424737619913,3.2768060607092955
3.2807690832139835,3.3082456429777265,3.2755898779296944
3.290325521548722,3.3130743760145114,3.293657856487214
3.2999656347416044,3.328212682108858,3.302262530806216
3.3076086327291754,3.333797511850053,3.3099719869266266
3.3095322568363015,3.3417021250457153,3.3176719316012884
3.3144472307232866,3.348082046519669,3.3237377847493113
3.3154519625496564,3.3510940179740616,3.326097138277374
3.3323453037156434,3.3506222644825336,3.336041837908855
3.3365157670200576,3.366445895914402,3.3373451516087753
3.3415843488397265,3.3709083917867892,3.3470584621871873
3.3465039405547663,3.3806318467805996,3.34953491157518
3.352378455812695,3.393587108518486,3.3526274844220025
3.360079836283597,3.3948213643552156,3.359753274166187
3.3642004172643896,3.39816410891263,3.365638471522685
3.370427171555545,3.404659659508878,3.3701836825879625
3.378983896420069,3.414431631844301,3.369161288736959
3.376735358089017,3.41224274088212,3.375503164108507
3.3928150724226263,3.42703273563326,3.3825795546278656
3.390577530687197,3.4290726809898495,3.3927959545574113
3.401164204972299,3.43060066766992,3.395728465967539
3.403894242320862,3.4359370814569283,3.3935454683643242
3.4054121812461275,3.440111487435787,3.4060351209967186
3.4138754877086,3.4438990333630057,3.409237230082249
3.4242256172168375,3.454718051220626,3.4151634582560733
3.428043856186167,3.459790649686512,3.421887418875219
3.4328548153121106,3.460014110210144,3.4227690535134307
3.4378793484119803,3.470389704794625,3.4270439358818585
3.440375717467191,3.474638564604292,3.4325355508539332
3.446388057799372,3.478689053051757,3.4388089027018873
3.449634130611191,3.4808885344308136,3.443879978392727
3.4546452815205932,3.485349597378336,3.4487915765290977
3.4579567940728593,3.485189381764502,3.4497405478285095
3.463491510403532,3.485953631591728,3.4539943514497944
3.4659540344398865,3.4963555607297216,3.45329864861099
3.4691064039919453,3.493881934937304,3.4638695840964053
3.4753023755767765,3.499891793323596,3.4674664651416114
3.4797272604485405,3.5054811625886737,3.4697454962950958
3.4822577046343133,3.509200821252624,3.475545917410016
3.485499740010461,3.5133562947799257,3.479078592689496
3.4864480233933244,3.512340613375008,3.4854789700741753
3.4909446278983864,3.5197657887017284,3.484919672147259
3.4906368424555767,3.5218679675967772,3.4843029084656996
3.4907040721547657,3.524202162152265,3.492254949813701
3.4973992600592636,3.5289559672441535,3.489282981500016
3.500609281179989,3.529891676911403,3.4930790264232376
3.5034733049961035,3.536894954657458,3.497795224316802
3.511563517012623,3.5399109234228185,3.5010542251262935
3.514402051550623,3.534419765087924,3.503696401108235
3.516609063075054,3.5445134473152544,3.5094005593141033
3.5172120115772207,3.5475839847382167,3.5126321772727174
3.516242712862783,3.550046234883223,3.5136863579868907
3.5238372110151888,3.5485186368823753,3.5143337249674502
3.5259541870098516,3.5577495067896407,3.517455565768973
3.5274732107192635,3.557102553759703,3.514608071629876
3.5323473487882424,3.5590948734651384,3.520928530333284
3.5349829742371868,3.562495189726308,3.5249292816989266
3.5345807552751545,3.5649430154399164,3.5307748850611786
3.5340151175723853,3.5669440069335225,3.5304439985989644
3.5405157331619215,3.570558447162738,3.5325907564990677
3.5431367765422594,3.5722286726964243,3.5370324960722384
3.544269796658802,3.5716156925394147,3.5393589915287906
3.5469048172042603,3.575727105739131,3.540876041717985
3.546831193707562,3.5766788643194793,3.5417005029945074
3.5495938096719684,3.5794947425394215,3.53755135805719
3.552626309230655,3.5737562635486766,3.5384015444964207
3.5510675665686593,3.5784626784484295,3.5420600983445496
3.5458469168508984,3.583052991467093,3.5449814581775967
3.5489224247117717,3.5838583067706096,3.550260472824109
3.5514199356461065,3.582485536755231,3.550676222413511
3.557103813178293,3.586205942485121,3.5544427233898808
3.5597900875041626,3.5868211705211372,3.557293255016581
3.56387366958538,3.584331502861082,3.559113412337034
3.5605924482346674,3.5905588654534215,3.5595710677707837
3.5608351380931955,3.59345426996376,3.5617344933032014
3.565275833848382,3.592063847571994,3.563184358944059
3.5668950109394153,3.5917178205920566,3.564704711562578
3.5665383358888576,3.5933124043198483,3.567370190557335
3.5681362361303774,3.5948783512546436,3.567368370450525
3.5691815726784606,3.594095763237565,3.564978179038044
3.570657182982605,3.597934111624138,3.5629817354319506
3.573242550224774,3.5895855256363385,3.562221529145355
3.5753894939964845,3.593612333498684,3.5626345664171666
3.5785845590086836,3.584990058948057,3.562025699855622
3.5724249369147834,3.5895104135120612,3.5661734074849187
3.572345500970239,3.5924855669335236,3.567973139712236
3.574606771968,3.5960829600347495,3.57151219666975
3.576836305662114,3.5984785504648626,3.573202181685326
3.57432492395671,3.601139259989837,3.5752428066469557
3.5724994513442594,3.6017870219485233,3.576207361890817
3.5773372450952414,3.596299440908735,3.573917310632429
3.5771121112679594,3.5989941936623,3.5738167654258604
3.57996101792005,3.598887718405249,3.5710440315415193
3.572270547266047,3.5989444117995455,3.5650740115199318
3.572717593483636,3.6018160085862787,3.5659438684791738
3.5721022593868312,3.5989069675528667,3.5763847366810246
3.574124421609683,3.597480730012496,3.5756428105252644
3.5747867042053607,3.6024686835807755,3.577054882601993
3.5721188474203664,3.6032765405416733,3.5789236976040946
3.576387467133538,3.5988676528811916,3.584778757336786
3.5760291351550437,3.59956636919409,3.584993897532827
3.576138196811751,3.6047217090821966,3.5875845118508836
