Main - E1,Main - E2,Main - E3
3.8251592323397956,3.571512890457165,3.50965797975084
3.8235957296020517,3.5690898737855923,3.508226112656147
3.823538527392391,3.5689799789175445,3.5074869913734092
3.8219228911292156,3.567113247862396,3.5070460109383275
3.821658219285679,3.5672136734723923,3.506283058592392
3.820017527394812,3.5677633407877933,3.5045372220270417
3.820355729776712,3.569077711389577,3.5049227980516413
3.8214368872435203,3.5680082316425716,3.5065929161030738
3.819355290889787,3.567818323889713,3.50542036471647
3.822483408842399,3.5693384675642292,3.505674180943765
3.818944390070313,3.568692244710417,3.5061441967254545
3.8213047223449186,3.5684210606755373,3.5060485747547725
3.820585972182434,3.573405980896662,3.5071367986755817
3.8201061632680733,3.5723442825587055,3.507913750088722
3.8215138316475796,3.5734630460081718,3.5092929865106806
3.823080101135777,3.575666386113087,3.5099133068334125
3.8235867544562687,3.577714150145879,3.51096397563199
3.8234644678739493,3.5790508656385924,3.5125424871386293
3.825345870530645,3.57933363764865,3.5136037092824317
3.8274573982436886,3.580857028288533,3.5128068935391012
3.828621830183291,3.5854530904588877,3.516785618809503
3.8293318216961736,3.5857815252739442,3.5184239587175767
3.830236685262585,3.588500058350791,3.5196697410831996
3.831039934874812,3.590495082413992,3.5204847390291456
3.8345575412718764,3.5936061114109052,3.5210459156463036
3.836645313031346,3.59576935218931,3.5244864076876787
3.8374078145546506,3.5960740625130008,3.5259059271451667
3.839316312667431,3.600230148299005,3.5272774118919243
3.8408021577875315,3.602319614050232,3.529564515306363
3.8414878739256237,3.6042680062439842,3.530670195937394
3.843491248821208,3.6030556479696445,3.532786461027468
3.844497160828948,3.6045081818614406,3.53487409400852
3.84590019751863,3.607941065133474,3.5352266696356893
3.8468517113141205,3.61133705869498,3.538242972371313
3.8484031951489763,3.6118598577976635,3.541193400451337
3.85090900271964,3.613697962938608,3.5415977028625925
3.849197531584495,3.6153346190781193,3.54342572850996
3.850865184987825,3.6171366901986284,3.5453202642944293
3.8514305669398126,3.6170075779405186,3.5464301667320144
3.8524551592025604,3.6182739586379933,3.547932011849398
3.854035185116311,3.6187239748554547,3.5497651138689874
3.8540534168930782,3.6187198119660833,3.5494675856050444
3.854819020633517,3.618409912670103,3.549282227165945
3.8563460327292183,3.6189067104971926,3.5488999345265646
3.8569427115090242,3.6181627644179977,3.5474863801116356
3.8558007175383144,3.6184074602315386,3.545914563473056
3.8537203822587465,3.6156484956454564,3.5435054540461337
3.8507855788552066,3.6090291234572347,3.540750555924535
3.8447263319726894,3.6055489686612865,3.5349580341688673
3.8384512068875702,3.5982354600492146,3.52752008704151
3.830237382453055,3.588145684809878,3.5174782079589404
3.8196646085752883,3.575162949050122,3.5082507530969735
3.8066092892610484,3.5622477698573105,3.495361572147553
3.7909569498019735,3.548537238854775,3.482234022789581
3.7741035619040253,3.5287658743765284,3.466000542301157
3.7551289034826256,3.5089186097305025,3.448316640621458
3.734999538125693,3.490753290865512,3.4308142772967565
3.714975715082172,3.4717840140022154,3.409945614848593
3.6938385797791327,3.4490506186243968,3.390680319019239
3.67142257462949,3.426026240072571,3.371454316712623
3.6478686845618427,3.4077807639397135,3.3499716470359098
